Iteration	World	Goal reward list	Policy	Sensorial changes	C-nodes
1	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
2	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
3	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
4	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
5	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
6	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	False	0
7	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
8	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	False	0
9	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
10	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	False	0
11	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
12	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
13	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
14	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
15	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	False	0
16	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	False	0
17	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
18	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	True	0
19	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
20	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
21	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
22	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	open_blender	True	0
23	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	place_in_blender	False	0
24	RIPE_FRUIT	{'novelty_goal': '0.0', 'ripe_fruit_in_blender_drive': '0.0'}	pick_fruit	True	0
